id,startTime,origin,destination,totalPower,graph,minimumCapacity,chargeLevelInterval,optimizedCost,optimizedCostDuration,optimizedDuration,optimizedDurationFinancialCost,endTime,error
604adbab8b8,1.68488E+12,"{""latitude"":59.864232285678845,""longitude"":15.748910607189075}","{""latitude"":59.426026260509225,""longitude"":15.112773255560278}",8192.141254,,43,50,0,5004.4,5004.4,0,1.68488E+12,
9dde2a1bb97,1.68453E+12,"{""latitude"":59.37814746925627,""longitude"":16.06057961334547}","{""latitude"":59.277764968058335,""longitude"":15.591693425907813}",8210.152088,,43,50,0,6135.2,6135.2,0,1.68453E+12,
aee15149d08,1.68492E+12,"{""latitude"":60.52985783801774,""longitude"":13.24600860857241}","{""latitude"":60.01960068370564,""longitude"":13.31962290565854}",8383.284153,,43,50,0,7454.9,7454.9,0,1.68492E+12,
f06ff55239f,1.68516E+12,"{""latitude"":58.79216495807037,""longitude"":17.316412733343903}","{""latitude"":59.24405089573508,""longitude"":16.586111597340498}",9078.221099,,43,50,0,6140.7,6140.7,0,1.68516E+12,
f3eed27de2f,1.68449E+12,"{""latitude"":59.188956929696936,""longitude"":13.37990992066616}","{""latitude"":59.94046649336293,""longitude"":13.66976377577871}",9245.573059,,43,50,0,5700,5700,0,1.68449E+12,
c0701c54232,1.68511E+12,"{""latitude"":56.991707822332764,""longitude"":13.27157900555635}","{""latitude"":57.03993401253289,""longitude"":14.030154692930306}",9371.709864,,43,50,0,5291.7,5291.7,0,1.68511E+12,
60d38952762,1.68492E+12,"{""latitude"":58.57439165848322,""longitude"":15.133615779123664}","{""latitude"":58.04344672770392,""longitude"":15.84332890139728}",9740.407736,,43,50,0,5296.2,5296.2,0,1.68492E+12,
fc1d3f321f2,1.68455E+12,"{""latitude"":57.58652743055812,""longitude"":13.832964717801426}","{""latitude"":57.032137915776005,""longitude"":14.733044076481406}",10660.69092,,43,50,0,8465.3,8465.3,0,1.68455E+12,
ce433e19f32,1.68495E+12,"{""latitude"":55.961323934468076,""longitude"":13.49457582250025}","{""latitude"":56.396136627994224,""longitude"":14.495395367891334}",11013.68114,,43,50,0,7584.2,7584.2,0,1.68495E+12,
15d057a18c2,1.68492E+12,"{""latitude"":59.717767011930505,""longitude"":14.791925628298412}","{""latitude"":60.10446809499555,""longitude"":13.659872983983858}",11208.37379,,43,50,0,8071.5,8071.5,0,1.68492E+12,
d19ebe99f05,1.68489E+12,"{""latitude"":59.33455962054921,""longitude"":16.922933203411816}","{""latitude"":59.00115458646446,""longitude"":15.882865095944341}",11671.4937,,43,50,0,6874.6,6874.6,0,1.68489E+12,
69376eab254,1.68489E+12,"{""latitude"":57.888316337601765,""longitude"":11.782356474961581}","{""latitude"":57.23838492965647,""longitude"":12.505836803236072}",13058.87308,,43,50,0,7137.9,7137.9,0,1.68489E+12,
73865634dcb,1.68511E+12,"{""latitude"":57.27264666067875,""longitude"":14.97952714567197}","{""latitude"":56.442524422860416,""longitude"":14.749757934444418}",13813.07852,,43,50,0,8394,8394,0,1.68511E+12,
